Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
13-145,"Ackee, canned, drained",8 cans,DG,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",76.7,2.9,15.2,0.8,151,625,0.01,0.8,0.1,0.0,0.01,0.7,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.0,240,270,35,40,47,0.70,0.27,0.6,340,NULL,NULL,0.01,0,NULL,0.0,NULL,NULL,0.03,0.07,0.6,0.5,0.06,0.0,41,NULL,NULL,30
13-146,"Agar, dried",Literature sources,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",9.7,1.3,1.2,0.01,16,67,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,NULL,81.1,NULL,0.30,0.10,0.40,NULL,0.0,110,110,760,620,50,20.60,NULL,14.4,NULL,4.30,NULL,NULL,0,0,0.0,0.01,NULL,0.01,0.22,0.2,NULL,0.01,0.0,0,0.01,0.01,0
13-147,"Agar, dried, soaked and drained",Literature sources,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",84.2,0.2,0.1,0.01,2,7,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,NULL,15.0,NULL,0.01,0.01,0.01,NULL,0.0,10,20,110,75,8,3.50,NULL,2.5,NULL,0.40,NULL,NULL,0,0,0.0,0.01,NULL,0.01,0.04,0.1,NULL,0.01,0.0,0,0.01,0.01,0
13-148,"Alfalfa sprouts, raw",Analytical and literature sources,DG,"Vegetables, Herbs and Spices Supplement, 1991",93.4,4.0,0.7,0.4,24,100,0.01,0.3,0.1,0.0,0.2,0.01,0.0,0.0,NULL,1.7,NULL,NULL,NULL,NULL,NULL,0.0,6,79,32,27,70,1.00,0.16,0.9,NULL,0.20,NULL,NULL,0,96,0.0,NULL,NULL,0.04,0.06,0.5,0.6,0.03,0.0,36,0.56,NULL,2
13-801,"Allspice, ground",Literature sources,H,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",8.5,6.1,8.7,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,2.50,0.70,2.40,NULL,0.0,77,1040,660,130,110,7.10,0.55,1.0,NULL,1.70,NULL,NULL,0,325,0.0,NULL,NULL,0.10,0.06,2.9,NULL,NULL,0.0,0,NULL,NULL,0
14-870,"Almonds, flaked and ground",10 samples,GA,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",4.2,21.1,55.8,6.9,612,2534,2.7,4.2,0.01,NULL,0.01,4.2,0.0,0.0,0.0,7.4,NULL,4.43,38.19,10.46,0.00,0.0,14,780,240,270,550,3.00,1.00,3.2,18,1.70,2,2,0,0,0.0,23.96,NULL,0.21,0.75,3.1,3.4,0.15,0.0,48,0.44,64.0,0
14-897,"Almonds, toasted",Literature sources,GA,"USDA SR28, 2015",2.4,21,52.5,5.9,579,2394,0.8,5.1,0.01,0.01,0.01,5,0.1,0,0,NULL,10.9,4.09,33.08,12.96,0.01,0,3,713,268,279,471,3.73,1.1,3.3,18,2.23,2,2,0,1,0,23.9,0,0.08,1.2,3.6,3.5,0.14,0,55,0.32,49,0
14-898,"Almonds, weighed with shells",Calculated from 14-896,GA,"USDA SR28, 2015",1.6,7.8,18.5,1.9,205,847,0.3,1.6,0.1,0.01,0.01,1.5,0.01,0,0,NULL,4.6,1.41,11.67,4.56,0.01,0,0.01,271,100,100,178,1.37,0.38,1.2,7,0.81,2,1,0,0.01,0,9.48,0,0.08,0.42,1.3,1.3,0.05,0,16,0.17,23.7,0
14-896,"Almonds, whole kernels","Literature sources, Prunus dulcis",GA,"USDA SR28, 2015",4.4,21.2,49.9,5.3,554,2292,0.8,4.5,0.2,0.1,0.1,4.1,0.01,0,0,NULL,12.5,3.8,31.55,12.33,0.02,0,1,733,269,270,481,3.71,1.031,3.1,18,2.18,4,2,0,1,0,25.63,0,0.21,1.14,3.6,3.4,0.14,0,44,0.47,64,0
13-150,"Amaranth leaves, boiled in unsalted water",Calculation from raw,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",90.4,3.0,0.3,0.3,16,67,0.1,0.2,0.01,0.0,0.2,0.01,0.0,0.0,NULL,NULL,NULL,0.10,0.10,0.10,NULL,0.0,11,540,220,110,54,2.40,0.11,0.5,12,0.90,NULL,NULL,0,1490,0.0,NULL,NULL,0.03,0.16,0.7,0.8,NULL,0.0,51,NULL,NULL,31
13-149,"Amaranth leaves, raw",Literature sources,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",88.9,3.5,0.3,0.3,18,75,0.1,0.2,0.01,0.0,0.2,0.01,0.0,0.0,NULL,NULL,NULL,0.10,0.10,0.10,NULL,0.0,13,620,270,130,65,3.00,0.13,0.6,14,1.00,NULL,NULL,0,1725,0.0,NULL,NULL,0.07,0.22,0.7,0.9,NULL,0.0,85,NULL,NULL,42
14-001,Amla,Literature sources,FA,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research",81.8,0.5,0.1,13.7,58,243,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.01,0.01,0.01,NULL,0.0,5,230,50,NULL,20,1.20,0.18,NULL,NULL,NULL,NULL,NULL,0,9,0.0,NULL,NULL,0.03,0.01,0.2,NULL,NULL,0.0,NULL,NULL,NULL,NULL
16-448,"Anchovies, canned in oil, drained","10 samples, 4 brands",JC,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols  from RHM, fatty acids in foods, 1993",46.4,25.2,10.0,0.0,191,798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60,5.30,1.80,0.01,63.0,5870,230,300,56,300,4.10,0.17,3.0,9100,0.18,NULL,NULL,57,0.01,NULL,NULL,NULL,0.01,0.10,3.8,4.7,NULL,11.0,18,NULL,NULL,0.01
13-802,Anise seeds,Literature sources,H,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",9.5,17.6,15.9,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,2.30,9.80,3.10,NULL,0.0,16,1440,650,170,440,37.00,0.91,5.3,NULL,2.30,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,NULL,NULL,0
14-272,"Apple juice concentrate, unsweetened, commerical","10 samples, 68.6 Brix; imported commercial concentrate",PE,"Fruit and Nuts Supplement, 1992",31.4,0.5,0.6,57.6,223,952,0.0,57.6,13.2,NULL,33.9,10.4,0.0,0.0,0.0,0.01,NULL,0.10,0.01,0.30,NULL,0.0,11,640,35,29,38,1.60,0.01,0.1,7,0.50,0.01,0.01,0,0.01,0.0,0.02,NULL,0.01,0.02,0.7,0.1,0.07,0.0,1,0.22,2.0,49
14-331,"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",FC,"DH, Nutrient analysis of fruit and vegetables, 2013",86.6,0.1,0.01,9.7,37,157,0.0,9.7,2.4,0.01,5.5,1.8,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,3,89,6,4,6,0.06,0.01,0.01,64,0.03,0.01,0.01,0,0.01,0.0,0.01,NULL,0.05,0.02,0.2,0.01,0.05,0.0,1,0.05,0.9,26
17-851,"Apple sauce, homemade",Recipe,WC,Updated 2014,77.5,0.3,0.2,20.2,79,336,0.01,20.2,1.6,NULL,4.8,13.7,0.0,0.0,0.0,1.3,1.4,0.05,0.02,0.11,0.01,0.0,2,75,5,3,6,0.11,0.03,0.0,NULL,0.02,0.01,3,0,0,0.0,0.10,NULL,0.03,0.01,0.1,0.1,0.04,0.0,1,0.01,0.7,9
14-344,"Apples, cooking, baked with sugar, flesh only",Calculated from 672g apple (14-342) and 40g sugar (17-061),FA,Updated 2014,79.9,0.2,0.4,17.1,69,292,0.01,17.1,2.4,0.0,6.6,8.1,0.0,0.0,0.0,1.4,1.9,0.07,0.04,0.14,0.00,0.0,1,100,5,3,8,0.17,0.04,0.01,83,0.02,0.01,4,0,0.01,0.0,0.12,NULL,0.02,0.04,0.2,0.1,0.06,0.0,0.01,0.12,1.1,14
14-345,"Apples, cooking, baked with sugar, flesh only, weighed with skin",Calculated from 14-344 using edible portion of 0.84,FA,Updated 2014,67.1,0.2,0.3,14.3,57,243,0.01,14.3,2.0,0.0,5.5,6.8,0.0,0.0,0.0,1.2,1.6,0.06,0.03,0.12,0.00,0.0,1,84,4,3,6,0.14,0.04,0.01,70,0.02,0.01,3,0,0.01,0.0,0.10,NULL,0.02,0.03,0.2,0.1,0.05,0.0,0.01,0.10,0.9,12
14-342,"Apples, cooking, baked without sugar, flesh only",Calculated from 14-320,FA,"DH, Nutrient analysis of fruit and vegetables, 2013",85.0,0.2,0.4,11.4,47,201,0.01,11.4,2.5,0.0,7.0,1.9,0.0,0.0,NULL,1.5,2.0,0.07,0.04,0.15,0.00,0.0,1,103,3,3,8,0.12,0.04,0.01,86,0.02,0.01,4,0,0.01,0.0,0.13,NULL,0.02,0.04,0.2,0.1,0.06,0.0,0.01,0.13,1.2,15
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",Calculated from 14-342 using edible portion of 0.84,FA,"DH, Nutrient analysis of fruit and vegetables, 2013",71.4,0.2,0.3,9.6,40,168,0.01,9.6,2.1,0.0,5.9,1.6,0.0,0.0,NULL,1.3,1.7,0.06,0.03,0.13,0.00,0.0,1,87,3,3,7,0.10,0.03,0.01,72,0.02,0.01,3,0,0.01,0.0,0.13,NULL,0.02,0.03,0.2,0.1,0.05,0.0,0.01,0.11,1.0,13
14-362,"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",87.7,0.3,0.3,8.9,37,159,0.01,8.9,2.0,NULL,5.9,1.0,0.0,0.0,0.0,1.6,1.7,0.06,0.03,0.13,0.00,0.0,2,88,4,3,7,0.10,0.02,0.01,NULL,0.02,0.01,4,0,0.01,0.0,0.12,NULL,0.04,0.02,0.1,0.1,0.06,0.0,5,0.01,1.2,14
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,F,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",64.0,0.2,0.2,6.5,27,116,0.01,6.4,1.5,NULL,4.3,0.7,0.0,0.0,0.0,1.2,1.2,0.04,0.02,0.09,0.00,0.0,1,64,3,2,5,0.07,0.01,0.01,NULL,0.01,0.01,3,0,0.01,0.0,0.09,NULL,0.01,0.07,0.1,NULL,0.04,0.0,0.01,NULL,0.9,10
14-332,"Apples, cooking, stewed with sugar, flesh only",Calculated from stewed without sugar,FA,"DH, Nutrient analysis of fruit and vegetables, 2013",77.5,0.2,0.3,20.8,81,346,0.01,20.8,3.1,0.0,6.7,11.0,0.0,0.0,0.0,1.0,1.4,0.06,0.03,0.13,0.00,0.0,1,81,3,3,6,0.10,0.03,0.01,73,0.02,0.01,4,0,0.01,0.0,0.10,NULL,0.02,0.03,0.2,0.1,0.05,0.0,0.01,0.11,0.9,11
14-320,"Apples, cooking, stewed without sugar, flesh only","22 samples, autumn and winter, UK grown pre-packed and loose, including Bramley and unspecified varieties",FA,"DH, Nutrient analysis of fruit and vegetables, 2013",87.3,0.2,0.3,9.7,40,169,0.01,9.7,2.1,0.01,5.9,1.7,0.0,0.0,0.0,1.3,1.7,0.06,0.03,0.13,0.00,0.0,1,87,3,3,7,0.10,0.03,0.01,73,0.02,0.01,4,0,0.01,0.0,0.11,NULL,0.02,0.03,0.2,0.1,0.05,0.0,0.01,0.11,1.0,12
14-016,"Apples, eating, dried","6 samples, 3 brands and calculation from 14-014",FA,"LGC, Fruit and vegetables, 1989-1990",21.6,2.0,0.5,60.1,238,1014,0.01,60.1,8.6,NULL,31.7,19.9,0.0,0.0,NULL,9.7,NULL,0.10,0.01,0.30,NULL,0.0,16,540,16,16,43,0.50,0.11,0.5,1,0.50,0.01,0.01,0,91,0.0,1.45,NULL,NULL,NULL,NULL,0.3,NULL,0.0,0.01,0.01,NULL,0.01
14-319,"Apples, eating, raw, flesh and skin","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Gala, Braeburn, Golden Delicious, Pink Lady, Cox and Granny Smith",FA,"DH, Nutrient analysis of fruit and vegetables, 2013",86.2,0.6,0.5,11.6,51,215,0.01,11.6,2.1,0.01,6.7,2.8,0.0,0.0,0.0,1.3,1.2,0.12,0.04,0.20,0.00,0.0,1,100,5,4,8,0.09,0.03,0.01,44,0.04,0.01,4,0,14,0.0,0.09,5.60,0.04,0.04,0.1,0.01,0.07,0.0,0.01,0.10,1.1,6
14-346,"Apples, eating, raw, flesh and skin, weighed with core",Calculated from 14-319 using edible portion of 0.87,FA,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000",75.0,0.5,0.4,10.0,43,183,0.01,10.0,1.8,NULL,5.8,2.4,0.0,0.0,NULL,1.1,1.0,0.10,0.03,0.17,0.00,0.0,1,87,5,4,7,0.08,0.03,0.01,38,0.03,0.01,4,0,12,0.0,0.08,4.87,0.03,0.03,0.1,0.01,0.06,0.0,0.01,0.09,1.0,5
14-031,"Apricots, dried",No stones,FA,"LGC, Nutritional composition of fruit products, 1985-1986",14.7,4.8,0.7,43.4,188,802,0.0,43.4,20.8,NULL,10.0,12.6,0.0,0.0,NULL,7.7,NULL,NULL,NULL,NULL,NULL,0.0,56,1880,92,65,120,4.10,0.40,0.7,35,0.40,7,NULL,0,645,0.0,NULL,NULL,0.01,0.20,3.0,0.6,0.17,0.0,14,0.70,NULL,0.01
14-032,"Apricots, dried, stewed with sugar","Calculated from 450g fruit, 770g water, 54g sugar",FA,"Fruit and Nuts Supplement, 1992",61.8,1.9,0.3,22.0,92,393,0.0,22.0,8.7,NULL,4.4,8.9,0.0,0.0,NULL,3.0,NULL,0.01,0.01,0.01,NULL,0.0,21,740,36,25,47,1.60,0.16,0.3,13,0.20,3,NULL,0,255,0.0,NULL,NULL,0.01,0.06,0.9,0.2,0.05,0.0,1,0.21,NULL,0.01
14-033,"Apricots, dried, stewed without sugar","Calculated from 450g fruit, 770g water",FA,"Fruit and Nuts Supplement, 1992",65.0,2.0,0.3,17.8,77,328,0.0,17.8,8.8,NULL,4.4,4.7,0.0,0.0,NULL,3.2,NULL,0.01,0.01,0.01,NULL,0.0,22,770,37,26,49,1.70,0.16,0.3,14,0.20,3,NULL,0,265,0.0,NULL,NULL,0.01,0.06,0.9,0.3,0.06,0.0,1,0.22,NULL,0.01
